Majority protein IDs	Protein names	Gene names	L3_4 old L OAF	L3_4 old A OAF	L3_4 old P OAF	L3_4 old R OAF	L3_4 old L IAF	L3_4 old R IAF	L3_4 old L IAF_NP	L3_4 old A IAF_NP	L3_4 old P IAF_NP	L3_4 old R IAF_NP	L3_4 old NP	L3_4 Young L OAF	L3_4 young A OAF	L3_4 young P OAF	L3_4 young R OAF	L3_4 young L IAF	L3_4 young R IAF	L3_4 young L IAF_NP	L3_4 young A IAF_NP	L3_4 young P IAF_NP	L3_4 young R IAF_NP	L3_4 young NP	L4_5 old L OAF	L4_5 old A OAF	L4_5 old P OAF	L4_5 old R OAF	L4_5 old L IAF	L4_5 old R IAF	L4_5 old L IAF_NP	L4_5 old A IAF_NP	L4_5 old P IAF_NP	L4_5 old R IAF_NP	L4_5 old NP	L4_5 young L OAF	L4_5 young A OAF	L4_5 young P OAF	L4_5 young R OAF	L4_5 young L IAF	L4_5 young R IAF	L4_5 young L IAF_NP	L4_5 young A IAF_NP	L4_5 young P IAF_NP	L4_5 young R IAF_NP	L4_5 young NP	L5_S1 old L OAF	L5_S1 old A OAF	L5_S1 old P OAF	L5_S1 old R OAF	L5_S1 old L IAF	L5_S1 old R IAF	L5_S1 old L IAF_NP	L5_S1 old A IAF_NP	L5_S1 old P IAF_NP	L5_S1 old R IAF_NP	L5_S1 old NP	L5_S1 young L OAF	L5_S1 young A OAF	L5_S1 young P OAF	L5_S1 young R OAF	L5_S1 young L IAF	L5_S1 young R IAF	L5_S1 young L IAF_NP	L5_S1 young A IAF_NP	L5_S1 young P IAF_NP	L5_S1 young R IAF_NP	L5_S1 young NP
P01023	Alpha-2-macroglobulin	A2M	33.6015	34.3586	34.6479	32.6631	36.0586	35.5461	35.9688	35.4342	35.6026	35.6967	36.4617	34.663	31.1676	30.9001	29.47	32.8458	32.1233	33.3741	32.9226	32.9452	33.6437	33.6599	32.7763	32.9366	34.0016	33.7506	33.6118	34.6625	35.7765	35.2943	35.8391	35.2778	36.514	27.7705	31.3476	31.0868	30.063	31.4378	30.7234	32.7164	32.6637	32.3676	32.457	32.8359	32.382	32.9286	34.8314	33.3616	33.1757	33.8136	35.7851	36.8816	35.5609	35.8581	36.6659	32.258	31.4653	31.8045	33.0063	30.4356	31.9771	32.1119	31.9836	33.1997	32.9259	32.9544
Q9NPC4	Lactosylceramide 4-alpha-galactosyltransferase	A4GALT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.3215	NaN	25.9067	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9H7C9	Mth938 domain-containing protein	AAMDC	25.7331	23.7653	26.6862	26.8798	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.7944	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.0592	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P49588	Alanine--tRNA ligase, cytoplasmic	AARS	25.2875	26.1908	24.447	25.0429	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.8709	NaN	25.1567	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.0184	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.5249	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.4361	24.544	25.1809	25.0114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.9591	25.1713	NaN	25.8352	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9NP58	ATP-binding cassette sub-family B member 6, mitochondrial	ABCB6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.2727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P61221	ATP-binding cassette sub-family E member 1	ABCE1	NaN	24.0724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.5237	NaN	NaN	NaN
Q8NE71	ATP-binding cassette sub-family F member 1	ABCF1	NaN	NaN	NaN	24.1126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.6933	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.7534	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9NUJ1	Mycophenolic acid acyl-glucuronide esterase, mitochondrial	ABHD10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.3432	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q96IU4	Alpha/beta hydrolase domain-containing protein 14B	ABHD14B	26.2489	27.0224	NaN	26.1964	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.5662	NaN	NaN	NaN	NaN	NaN	NaN	25.2856	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.9427	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.907	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8IZP0	Abl interactor 1	ABI1	NaN	24.0309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.0151	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q7Z7G0	Target of Nesh-SH3	ABI3BP	33.9966	33.2697	34.1499	32.7407	36.5246	34.1197	34.9045	34.3299	34.792	35.5505	34.713	37.4418	37.6356	37.5906	37.5065	37.7849	38.2952	37.3858	36.8597	37.1398	37.3076	37.4212	34.6481	35.5882	32.9268	35.8205	36.5326	36.6903	35.2561	35.5518	33.8788	35.773	34.4203	36.9189	37.5614	37.2784	37.3547	37.7747	37.4838	37.0737	36.6717	36.7782	37.4993	36.6651	36.677	36.5516	36.3769	34.81	35.7365	36.392	36.3658	37.3267	35.8926	36.3926	36.6425	37.0286	36.6931	37.5627	37.9592	37.2654	37.4853	37.3568	36.8565	37.273	37.346	36.9625
Q6H8Q1	Actin-binding LIM protein 2	ABLIM2	NaN	NaN	NaN	23.6606	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9P1F3	Costars family protein ABRACL	ABRACL	NaN	NaN	NaN	24.4568	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P09110	3-ketoacyl-CoA thiolase, peroxisomal	ACAA1	NaN	NaN	NaN	23.0781	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P42765	3-ketoacyl-CoA thiolase, mitochondrial	ACAA2	28.764	26.4663	NaN	28.5937	NaN	24.0107	NaN	NaN	NaN	NaN	NaN	25.0601	NaN	NaN	23.6735	NaN	NaN	NaN	NaN	NaN	24.7563	NaN	24.5226	NaN	NaN	23.6113	NaN	24.1384	NaN	NaN	NaN	NaN	NaN	24.6733	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.1067	NaN	24.3676	NaN	NaN	24.3568	24.2065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.3922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P11310	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADM	25.7093	NaN	NaN	26.9483	NaN	NaN	NaN	NaN	NaN	NaN	25.9109	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P16219	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.806	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P49748	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADVL	28.7379	28.7273	26.3753	29.0956	24.3058	25.058	25.3702	NaN	28.0228	25.0059	25.257	NaN	24.5632	NaN	NaN	NaN	NaN	27.0288	NaN	27.174	29.2791	NaN	26.6725	27.0329	NaN	28.6919	NaN	NaN	25.2071	NaN	NaN	NaN	NaN	27.1549	23.5689	NaN	25.704	NaN	27.369	27.2688	NaN	25.3254	NaN	28.2435	25.3605	25.5851	NaN	25.9835	NaN	NaN	NaN	25.9409	NaN	NaN	NaN	26.6572	27.7307	28.1495	26.9766	NaN	25.8664	26.3511	26.9116	NaN	NaN	NaN
P16112	Aggrecan core protein;Aggrecan core protein 2	ACAN	37.5598	35.0118	37.1545	33.6426	38.6397	38.2389	37.9816	36.9034	36.8676	38.1517	37.3354	39.6422	39.7689	39.4926	39.219	40.5669	40.0424	39.7046	39.5979	39.715	39.9502	40.1129	38.6394	39.1977	37.9718	38.7288	39.6353	39.3382	37.9623	38.6378	36.5932	38.3607	36.6753	38.041	39.7391	39.2447	38.9589	39.7216	39.2533	39.5044	39.7984	39.5437	39.7132	39.3513	39.653	39.4585	38.7107	37.591	39.0391	39.2694	39.0265	40.5124	38.5164	39.2785	39.3095	38.7484	39.3185	39.7259	39.5644	39.2094	39.2891	39.0336	39.1883	39.5521	39.5761	39.2537
P24752	Acetyl-CoA acetyltransferase, mitochondrial	ACAT1	29.8083	27.3054	29.0999	29.9123	28.7422	28.2172	28.9043	NaN	NaN	NaN	28.3632	29.7432	31.3444	NaN	31.0348	NaN	30.3156	27.8987	NaN	NaN	NaN	29.6943	28.3288	NaN	29.6831	28.2108	29.5281	NaN	28.5533	NaN	28.361	NaN	27.9818	29.4556	NaN	NaN	28.8021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.5217	29.5038	28.9714	29.2217	NaN	NaN	NaN	29.4498	NaN	NaN	29.1973	28.8232	NaN	29.1489	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9H3P7	Golgi resident protein GCP60	ACBD3	24.2684	24.8718	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9UKV3	Apoptotic chromatin condensation inducer in the nucleus	ACIN1	NaN	23.5663	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P53396	ATP-citrate synthase	ACLY	24.7476	25.6165	25.8724	25.0354	25.1447	25.6099	27.3668	26.6664	NaN	NaN	26.6064	26.3924	25.3739	26.5772	26.0838	26.2177	NaN	NaN	NaN	NaN	NaN	NaN	24.9099	26.349	27.2654	NaN	NaN	NaN	NaN	26.8953	25.8912	NaN	27.0077	26.6559	25.1563	NaN	NaN	25.8271	NaN	NaN	NaN	27.8265	NaN	NaN	27.8419	27.2388	25.8552	24.8031	NaN	NaN	NaN	26.2246	27.0259	NaN	27.8163	25.9417	26.3153	25.4803	26.0355	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P21399	Cytoplasmic aconitate hydratase	ACO1	29.5032	29.0979	25.4002	29.6553	23.9975	26.1598	27.227	25.6025	NaN	NaN	NaN	NaN	25.6627	NaN	NaN	25.3569	NaN	NaN	NaN	NaN	NaN	NaN	27.3182	NaN	25.018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.6824	25.9527	NaN	27.5802	NaN	NaN	26.8382	25.9911	NaN	NaN	NaN	25.9342	NaN	26.2351	NaN	NaN	NaN	NaN	26.389	NaN	NaN	NaN
Q99798	Aconitate hydratase, mitochondrial	ACO2	30.8881	28.4835	NaN	31.3959	22.3475	22.294	22.2061	NaN	NaN	NaN	NaN	23.9385	26.0981	23.952	26.0675	22.656	22.1988	22.9509	25.0075	24.8372	NaN	24.76	26.4367	22.6231	NaN	24.2362	24.6782	NaN	22.6909	22.1906	NaN	NaN	NaN	27.1387	22.563	NaN	26.3687	24.2207	NaN	23.021	NaN	NaN	NaN	23.6134	24.1533	25.1055	22.7807	26.1007	NaN	NaN	23.7231	NaN	NaN	NaN	NaN	26.6213	24.9193	24.987	23.0355	NaN	23.748	21.4115	NaN	NaN	NaN	23.0502
Q9Y305	Acyl-coenzyme A thioesterase 9, mitochondrial	ACOT9	NaN	24.4022	NaN	25.1683	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P24666	Low molecular weight phosphotyrosine protein phosphatase	ACP1	26.4153	25.9787	NaN	27.3784	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.6249	NaN	NaN	NaN	NaN	NaN	26.7093	NaN	26.3854	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.1331	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.545	NaN	NaN	26.2875	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P33121	Long-chain-fatty-acid--CoA ligase 1	ACSL1	25.5775	NaN	NaN	25.2399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.5383	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.1727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O95573;O60488	Long-chain-fatty-acid--CoA ligase 3;Long-chain-fatty-acid--CoA ligase 4	ACSL3;ACSL4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.1945	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P68133	Actin, alpha skeletal muscle	ACTA1	31.541	28.9331	28.4826	31.382	27.9013	27.548	27.3085	NaN	NaN	25.4805	27.1924	26.6656	28.467	27.7433	27.9574	28.5622	28.7006	27.5179	29.8915	27.1074	26.7552	28.1698	29.8707	28.4347	28.9247	26.7591	27.0384	27.7281	26.6798	28.2185	28.4675	27.5233	27.551	29.9791	28.7715	26.9284	28.3452	29.0337	27.1542	29.6767	23.8801	29.7657	NaN	NaN	26.6377	29.4151	26.2948	29.1999	NaN	28.018	NaN	NaN	NaN	NaN	NaN	29.1742	27.5789	NaN	27.8461	NaN	NaN	NaN	NaN	NaN	NaN	NaN
